,year,semester,subjectCode,num,time,course
0,2013,1,ENG10062,1,"M2,M3",ENG10062.1
1,2013,1,ENG20021,1,"M5,Th5",ENG20021.1
2,2013,1,GEE20034,1,"Th2,Th3",GEE20034.1
3,2013,1,GEE30023,1,"Th4,Th5",GEE30023.1
4,2013,1,GEK10000,2,"M3,M4,Th3,Th4",GEK10000.2
5,2013,1,GEK10021,1,"Th5,Th6",GEK10021.1
6,2013,1,GEK10022,1,"M5,Th5",GEK10022.1
7,2013,1,GEK10022,2,"M6,Th6",GEK10022.2
8,2013,1,GEK10033,1,"M6,Th6",GEK10033.1
9,2013,1,GEK10038,1,"M4,M5",GEK10038.1
10,2013,1,GEK10038,3,"Th4,Th5",GEK10038.3
11,2013,1,GEK10040,1,"M2,M3",GEK10040.1
12,2013,1,GEK10042,1,"M3,Th3",GEK10042.1
13,2013,1,GEK10045,14,"M5,Th5",GEK10045.14
14,2013,1,GEK10055,4,"M6,Th6",GEK10055.4
15,2013,1,GEK10056,1,"M7,Th7",GEK10056.1
16,2013,1,GEK10057,1,"M5,Th5",GEK10057.1
17,2013,1,GEK10057,2,"M1,Th1",GEK10057.2
18,2013,1,GEK10057,3,"M2,Th2",GEK10057.3
19,2013,1,GEK10059,3,"M3,Th3",GEK10059.3
20,2013,1,GEK10059,4,"M5,Th5",GEK10059.4
21,2013,1,GEK10060,1,"M3,Th3",GEK10060.1
22,2013,1,GEK10062,1,"M2,Th2",GEK10062.1
23,2013,1,GEK10062,2,"M3,Th3",GEK10062.2
24,2013,1,GEK10095,2,"M2,Th2",GEK10095.2
25,2013,1,GEK10096,1,"M1,Th1",GEK10096.1
26,2013,1,GEK10096,2,"M2,Th2",GEK10096.2
27,2013,1,GEK10096,3,"M3,Th3",GEK10096.3
28,2013,1,GEK20011,1,"Th3,Th4",GEK20011.1
29,2013,1,GEK20011,2,"M3,M4",GEK20011.2
30,2013,1,GEK20011,3,"Th3,Th4",GEK20011.3
31,2013,1,GEK20016,1,"M5,Th5",GEK20016.1
32,2013,1,GEK20021,1,"Th7,Th8",GEK20021.1
33,2013,1,GEK20021,2,Th6,GEK20021.2
34,2013,1,GEK20028,3,"Th2,Th3",GEK20028.3
35,2013,1,GEK20042,2,"M4,M5",GEK20042.2
